,city,lat,lng,country,population
2735,Montagu,-33.7833,20.1167,South Africa,15176.0
2736,Beahitse,-24.1667,44.4333,Madagascar,17000.0
2737,Isoanala,-23.8333,45.7167,Madagascar,17000.0
2738,Aklanpa,8.1684,2.232,Benin,16895.0
2739,Azeffoun,36.8961,4.4204,Algeria,16847.0
2740,Mugumu,-1.8333,34.6667,Tanzania,16851.0
2741,Ambohimanambola,-18.95,47.6,Madagascar,16418.0
2742,Tobré,10.2,2.1333,Benin,16912.0
2743,Bek’ojī,7.5833,39.3333,Ethiopia,16730.0
2744,Fetromby,-18.5833,48.9167,Madagascar,16894.0
2745,Dēra,8.3333,39.3167,Ethiopia,16731.0
2746,Ratba,34.7833,-4.9333,Morocco,16825.0
2747,Tichi,36.6675,5.1601,Algeria,16546.0
2748,’Aïn Abessa,36.3,5.295,Algeria,16770.0
2749,Ouaouzgane,35.0167,-4.5167,Morocco,16772.0
2750,Sidi Lamine,32.9,-6.05,Morocco,16808.0
2751,Bethlehem,-28.224,28.311,South Africa,16236.0
2752,Mikumi,-7.4072,36.9722,Tanzania,16780.0
2753,Adjahomé,7.0618,1.8368,Benin,16421.0
2754,Katosi,0.1528,32.8014,Uganda,16442.0
2755,Chorfa,36.3617,4.3307,Algeria,16173.0
2756,Douar Tabouda,34.7167,-5.1333,Morocco,16618.0
2757,Murehwa,-17.65,31.7833,Zimbabwe,16666.0
2758,Sidi Ettiji,32.1717,-8.8686,Morocco,16649.0
2759,Zirara,32.35,-8.5333,Morocco,16606.0
2760,Mensora,34.8356,-4.9655,Morocco,16559.0
2761,Kade,6.0833,-0.8333,Ghana,16542.0
2762,Tantéga,10.85,1.0333,Benin,16625.0
2763,Tiahounkossi,10.8167,1.0667,Benin,16625.0
2764,Segbwema,8.0,-10.95,Sierra Leone,16532.0
2765,Grimari,5.7167,20.05,Central African Republic,16486.0
2766,Añisoc,1.85,10.7667,Equatorial Guinea,16626.0
2767,Odumase,7.3667,-2.3167,Ghana,16542.0
2768,Tirhassaline,32.7833,-5.65,Morocco,15204.0
2769,Ippy,6.25,21.2,Central African Republic,16571.0
2770,Ina,9.9833,2.7167,Benin,16558.0
2771,Chinde,-18.5833,36.4667,Mozambique,16500.0
2772,Centre de Flacq,-20.2002,57.7177,Mauritius,15791.0
2773,Ségou,6.6167,2.2167,Benin,16124.0
2774,Bobangui,4.05,18.1167,Central African Republic,16486.0
2775,Antanambao Mahatsara,-19.3167,48.7833,Madagascar,16482.0
2776,Karema,-6.8205,30.4389,Tanzania,16385.0
2777,Sabotsy,-19.2333,47.6,Madagascar,16471.0
2778,Nyahanga,-2.3829,33.55,Tanzania,16092.0
2779,Ambohimalaza,-18.9167,47.65,Madagascar,15988.0
2780,Al Ḩībah,28.7736,30.9228,Egypt,16209.0
2781,Angara-Débou,11.3289,3.0406,Benin,16369.0
2782,Domoni,-12.2586,44.5303,Comoros,16276.0
2783,Sebt Aït Saghiouchen,34.0122,-4.5536,Morocco,16362.0
2784,Banigbé,6.9,2.65,Benin,16080.0
2785,Sahatavy,-17.4489,48.9953,Madagascar,16334.0
2786,Douar Azla,35.5564,-5.2453,Morocco,16128.0
2787,Guelendeng,10.9183,15.5486,Chad,16320.0
